Mots,Partie,Chapitre,Paragraphe,Phrase
I,2,1,1,1
La,2,1,2,1
propriété,2,1,2,1
des,2,1,2,1
Grégoire,2,1,2,1
la,2,1,2,1
Piolaine,2,1,2,1
se,2,1,2,1
trouvait,2,1,2,1
à,2,1,2,1
deux,2,1,2,1
kilomètres,2,1,2,1
de,2,1,2,1
Montsou,2,1,2,1
vers,2,1,2,1
l'est,2,1,2,1
sur,2,1,2,1
la,2,1,2,1
route,2,1,2,1
de,2,1,2,1
Joiselle,2,1,2,1
C'était,2,1,2,2
une,2,1,2,2
grande,2,1,2,2
maison,2,1,2,2
carrée,2,1,2,2
sans,2,1,2,2
style,2,1,2,2
bâtie,2,1,2,2
au,2,1,2,2
commencement,2,1,2,2
du,2,1,2,2
siècle,2,1,2,2
dernier,2,1,2,2
Des,2,1,2,3
vastes,2,1,2,3
terres,2,1,2,3
qui,2,1,2,3
en,2,1,2,3
dépendaient,2,1,2,3
d'abord,2,1,2,3
il,2,1,2,3
ne,2,1,2,3
restait,2,1,2,3
qu'une,2,1,2,3
trentaine,2,1,2,3
d'hectares,2,1,2,3
clos,2,1,2,3
de,2,1,2,3
murs,2,1,2,3
d'un,2,1,2,3
facile,2,1,2,3
entretien,2,1,2,3
On,2,1,2,4
citait,2,1,2,4
surtout,2,1,2,4
le,2,1,2,4
verger,2,1,2,4
et,2,1,2,4
le,2,1,2,4
potager,2,1,2,4
célèbres,2,1,2,4
par,2,1,2,4
leurs,2,1,2,4
fruits,2,1,2,4
et,2,1,2,4
leurs,2,1,2,4
légumes,2,1,2,4
les,2,1,2,4
plus,2,1,2,4
beaux,2,1,2,4
du,2,1,2,4
pays,2,1,2,4
D'ailleurs,2,1,2,5
le,2,1,2,5
parc,2,1,2,5
manquait,2,1,2,5
un,2,1,2,5
petit,2,1,2,5
bois,2,1,2,5
en,2,1,2,5
tenait,2,1,2,5
lieu,2,1,2,5
L'avenue,2,1,2,6
de,2,1,2,6
vieux,2,1,2,6
tilleuls,2,1,2,6
une,2,1,2,6
voûte,2,1,2,6
de,2,1,2,6
feuillage,2,1,2,6
de,2,1,2,6
trois,2,1,2,6
cents,2,1,2,6
mètres,2,1,2,6
plantée,2,1,2,6
de,2,1,2,6
la,2,1,2,6
grille,2,1,2,6
au,2,1,2,6
perron,2,1,2,6
était,2,1,2,6
une,2,1,2,6
des,2,1,2,6
curiosités,2,1,2,6
de,2,1,2,6
cette,2,1,2,6
plaine,2,1,2,6
rase,2,1,2,6
où,2,1,2,6
l'on,2,1,2,6
comptait,2,1,2,6
les,2,1,2,6
grands,2,1,2,6
arbres,2,1,2,6
de,2,1,2,6
Marchiennes,2,1,2,6
à,2,1,2,6
Beaugnies,2,1,2,6
Ce,2,1,3,1
matin-là,2,1,3,1
les,2,1,3,1
Grégoire,2,1,3,1
s'étaient,2,1,3,1
levés,2,1,3,1
à,2,1,3,1
huit,2,1,3,1
heures,2,1,3,1
D'habitude,2,1,3,2
ils,2,1,3,2
ne,2,1,3,2
bougeaient,2,1,3,2
guère,2,1,3,2
qu'une,2,1,3,2
heure,2,1,3,2
plus,2,1,3,2
tard,2,1,3,2
dormant,2,1,3,2
beaucoup,2,1,3,2
avec,2,1,3,2
passion,2,1,3,2
mais,2,1,3,2
la,2,1,3,2
tempête,2,1,3,2
de,2,1,3,2
la,2,1,3,2
nuit,2,1,3,2
les,2,1,3,2
avait,2,1,3,2
énervés,2,1,3,2
Et,2,1,3,3
pendant,2,1,3,3
que,2,1,3,3
son,2,1,3,3
mari,2,1,3,3
était,2,1,3,3
allé,2,1,3,3
voir,2,1,3,3
tout,2,1,3,3
de,2,1,3,3
suite,2,1,3,3
si,2,1,3,3
le,2,1,3,3
vent,2,1,3,3
n'avait,2,1,3,3
